"ModelReleaseYear","Make","ModelReleaseVersion","Model","Variant","EngineDisplacement","EngineConfiguration","EngineInduction","FwdGearsNo","TransmissionTypeDescription","SideDoorNo","SeatingCapacity","BodyStyle","DrivingWheelsNo","FuelType","CO2EmissionsCombined","CO2EmissionsUrban","CO2EmissionsExtraUrban","FuelConsumptionCombined","FuelConsumptionUrban","FuelConsumptionExtraUrban","EnergyConsumptionWhkm","ElectricRangeKm","AirPollutionStandard","StationaryNoiseData","TestSpeed","IsCurrentModel","ModelEndYear","FuelLifeCycleCO2","AnnualTailpipeCO2","AnnualFuelCost"
"2023","Fiat","","500e","FWD 87 kW 42 kWh","0","Electric","N/A","1","Auto","2","4","Hatch","2","Pure Electric","0","","","0","","","144","311","Pure EV","","","Yes","0","117","0","605"
"2019","BMW","I01","i3","i3s BEV 120Ah","0","Electric","N/A","1","Other","4","4","Sedan","2","Pure Electric","0","","","0","","","145","329","Pure EV","","","Yes","0","117","0","609"
"2023","BYD","EK","SEAL","PREMIUM","0","Electric","N/A","1","Auto","4","5","Sedan","2","Pure Electric","0","","","0","","","146","650","Pure EV","","","Yes","0","118","0","613"
"2022","Tesla","","Model Y","RWD (SY6LR)","0","Electric","N/A","1","Auto","4","5","SUV","2","Pure Electric","0","","","0","","","146","510","Pure EV","70","1","Yes","0","118","0","613"
"2021","Tesla","","Model Y","(SY6LR)","0","Electric","N/A","1","Auto","4","5","SUV","2","Pure Electric","0","","","0","","","146","510","Pure EV","70","1","Yes","0","118","0","613"
"2022","Tesla","","Model 3","LongRange (E5LDB)","0","Electric","N/A","1","N/A","4","5","Sedan","4","Pure Electric","0","","","0","","","147","602","Pure EV","","","Yes","0","119","0","617"
"2024","Mercedes-Benz","X243","EQB","EQB 250+","0","Electric","N/A","1","Auto","4","7","Wagon","2","Pure Electric","0","","","0","","","147","564","Pure EV","","","Yes","0","119","0","617"
"2024","MINI","J01","Cooper","E","0","Electric","N/A","1","Auto","2","4","Hatch","2","Pure Electric","0","","","0","","","150","271","Pure EV","","4000","Yes","0","122","0","630"
"2024","MINI","J01","Cooper","SE","0","Electric","N/A","1","Auto","2","4","Hatch","2","Pure Electric","0","","","0","","","151","362","Pure EV","","5500","Yes","0","122","0","634"
"2023","Lexus","","RZ 450e","","0","Electric","N/A","1","Auto","4","5","Wagon","4","Pure Electric","0","","","0","","","152","470","Pure EV","","","Yes","0","123","0","638"
"2023","MG","","MG4","64kWh EV 4WD","0","Electric","N/A","1","Auto","4","5","Hatch","4","Pure Electric","0","","","0","","","152","460","Pure EV","","","Yes","0","123","0","638"
"2021","Tesla","","Model Y","LongRange (LY5LD)","0","Electric","N/A","1","Auto","4","5","SUV","4","Pure Electric","0","","","0","","","154","612","Pure EV","68","1","Yes","0","125","0","647"
"2021","Tesla","","Model Y","Performance (PY5LD)","0","Electric","N/A","1","Auto","4","5","SUV","4","Pure Electric","0","","","0","","","156","604","Pure EV","68","1","Yes","0","126","0","655"
"2024","Renault","","Megane E-Tech","Techno EV60","0","Electric","N/A","1","Auto","4","5","Hatch","2","Pure Electric","0","","","0","","","156","454","Pure EV","","","Yes","0","126","0","655"
"2020","Tesla","","Model 3","Performance (E3DP)","0","Electric","N/A","1","N/A","4","5","Sedan","4","Pure Electric","0","","","0","","","157","628","Pure EV","","","Yes","0","127","0","659"
"2022","Tesla","","Model 3","Performance (E5LDP)","0","Electric","N/A","1","N/A","4","5","Sedan","4","Pure Electric","0","","","0","","","157","615","Pure EV","","","Yes","0","127","0","659"
"2024","BMW","U11","X1","iX1 eDrive20","0","Electric","N/A","1","Auto","4","5","Wagon","2","Pure Electric","0","","","0","","","157","464","Pure EV","","4000","Yes","0","127","0","659"
"2022","Tesla","","Model Y","RWD (SY6LR)","0","Electric","N/A","1","N/A","4","5","SUV","2","Pure Electric","0","","","0","","","157","455","Pure EV","","","Yes","0","127","0","659"
"2024","Mercedes-Benz","H243","EQA Class","EQA 350 4MATIC","0","Electric","N/A","1","Auto","4","5","Wagon","4","Pure Electric","0","","","0","","","159","489","Pure EV","","","Yes","0","129","0","668"
"2021","Kia","2021","Niro","S","0","Electric","N/A","1","Other","4","5","Wagon","2","Pure Electric","0","","","0","","","159","455","Pure EV","","","Yes","0","129","0","668"
"2021","Kia","2021","Niro","Sport","0","Electric","N/A","1","Other","4","5","Wagon","2","Pure Electric","0","","","0","","","159","455","Pure EV","","","Yes","0","129","0","668"
"2017","Renault","","Kangoo","ZE","0","Electric","N/A","0","N/A","3","2","Van","2","Pure Electric","0","","","0","","","159","264","Pure EV","","","Yes","0","129","0","668"
"2022","BYD","SC2E","ATTO 3","EXTENDED","0","Electric","N/A","1","N/A","4","5","Wagon","2","Pure Electric","0","","","0","","","160","420","Pure EV","","","Yes","0","130","0","672"
"2022","BYD","SC2E","ATTO 3","STANDARD","0","Electric","N/A","1","N/A","4","5","Wagon","2","Pure Electric","0","","","0","","","160","345","Pure EV","","","Yes","0","130","0","672"
"2023","Peugeot","","2008","e2008 GT","0","Electric","N/A","1","Auto","4","5","SUV","2","Pure Electric","0","","","0","","","161","328","Pure EV","","","Yes","0","130","0","676"
"2021","Mercedes-Benz","H243","EQA Class","EQA250","0","Electric","N/A","1","Auto","4","5","Wagon","2","Pure Electric","0","","","0","","","162","524","Pure EV","","","Yes","0","131","0","680"
"2021","Mercedes-Benz","H243","EQA Class","EQA250","0","Electric","N/A","1","Auto","4","5","Wagon","2","Pure Electric","0","","","0","","","162","480","Pure EV","","","Yes","0","131","0","680"
"2022","Kia","2022","Niro","EV","1.6","4cyl","N/A","1","Auto","4","5","SUV","2","Pure Electric","0","","","0","","","162","460","Pure EV","","","Yes","0","131","0","680"
"2020","MG","","ZS EV","","0","Electric","N/A","1","N/A","4","5","SUV","2","Pure Electric","0","","","0","","","162","320","Pure EV","","","Yes","0","131","0","680"
"2023","Mercedes-Benz","V295","EQE","300","0","Electric","N/A","1","Auto","4","5","Sedan","2","Pure Electric","0","","","0","","","163","626","Pure EV","","","Yes","0","132","0","685"
"2023","Mercedes-Benz","V295","EQE Class","EQE 300","0","Electric","N/A","1","Auto","4","5","Sedan","2","Pure Electric","0","","","0","","","163","626","Pure EV","","","Yes","0","132","0","685"
"2023","BYD","EK","SEAL","PERFORMANCE","0","Electric","N/A","1","Auto","4","5","Sedan","4","Pure Electric","0","","","0","","","164","580","Pure EV","","","Yes","0","133","0","689"
"2023","BMW","G60","5 Series","i5 eDrive40","0","Electric","N/A","1","Auto","4","5","Sedan","2","Pure Electric","0","","","0","","","165","550","Pure EV","","","Yes","0","134","0","693"
"2022","Tesla","","Model 3","Performance (E5LDP)","0","Electric","N/A","1","N/A","4","5","Sedan","4","Pure Electric","0","","","0","","","165","547","Pure EV","","","Yes","0","134","0","693"
"2022","Kia","","EV6","Air RWD","0","Electric","N/A","1","Other","4","5","Wagon","2","Pure Electric","0","","","0","","","165","528","Pure EV","","","Yes","0","134","0","693"
"2023","GWM","","Ora","Extended Range","0","Electric","N/A","1","Auto","4","5","Hatch","2","Pure Electric","0","","","0","","","165","420","Pure EV","","","Yes","0","134","0","693"
"2022","Kia","","Niro Plus","EV","0","Electric","N/A","1","Auto","4","5","Wagon","2","Pure Electric","0","","","0","","","166","427","Pure EV","","","Yes","0","134","0","697"
"2020","Tesla","","Model S","LongRange (SA3EB)","0","Electric","N/A","1","N/A","4","5","Hatch","4","Pure Electric","0","","","0","","","167","722","Pure EV","","","Yes","0","135","0","701"
"2024","Tesla","AWD PERFORMANCE","Model 3","H5LDP","0","Electric","N/A","1","Auto","4","5","Sedan","4","Pure Electric","0","","","0","","","167","528","Pure EV","","","Yes","0","135","0","701"
"2022","Mercedes-Benz","X243","EQB","EQB 250 ","0","Electric","N/A","1","Auto","4","5","Wagon","2","Pure Electric","0","","","0","","","167","507","Pure EV","","","Yes","0","135","0","701"
"2022","Mercedes-Benz","X243","EQB","EQB 250 ","0","Electric","N/A","1","Auto","4","7","Wagon","2","Pure Electric","0","","","0","","","167","507","Pure EV","","","Yes","0","135","0","701"
"2023","GWM","","Ora","Standard Range","0","Electric","N/A","1","Auto","4","5","Hatch","2","Pure Electric","0","","","0","","","167","310","Pure EV","","","Yes","0","135","0","701"
"2023","GWM","","Ora","Extended Range GT","0","Electric","N/A","1","N/A","4","5","Hatch","2","Pure Electric","0","","","0","","","168","400","Pure EV","","","Yes","0","136","0","706"
"2020","MINI","F56","Cooper SE","Hardtop","0","Electric","N/A","1","Auto","2","4","Hatch","2","Pure Electric","0","","","0","","","168","222","Pure EV","","","Yes","0","136","0","706"
"2022","Tesla","","Model Y","LongRange (LY5LD)","0","Electric","N/A","1","N/A","4","5","SUV","4","Pure Electric","0","","","0","","","169","533","Pure EV","","","Yes","0","137","0","710"
"2022","Hyundai","","IONIQ6","LRG Range 20 inch","0","Electric","N/A","1","Auto","4","5","Sedan","4","Pure Electric","0","","","0","","","169","519","Pure EV","","","Yes","0","137","0","710"
"2023","Cupra","MY23","Born","77kWh 4 seat (19" Alloys)","0","Electric","N/A","1","Auto","4","4","Hatch","2","Pure Electric","0","","","0","","","170","511","Pure EV","","","Yes","0","138","0","714"
"2023","Cupra","MY23","Born","Born 77kWh 5 seat","0","Electric","N/A","1","Auto","4","5","Hatch","2","Pure Electric","0","","","0","","","170","511","Pure EV","","","Yes","0","138","0","714"
"2022","Mercedes-Benz","H243","EQA Class","EQA350 4MATIC","0","Electric","N/A","1","Auto","4","5","Wagon","4","Pure Electric","0","","","0","","","171","464","Pure EV","","","Yes","0","139","0","718"
"2024","BMW","U10","iX2","eDrive20","0","Electric","N/A","1","Auto","4","5","Wagon","4","Pure Electric","0","","","0","","","171","427","Pure EV","","3750","Yes","0","139","0","718"
"2022","MG","","ZS EV","","0","Electric","N/A","1","Auto","4","5","SUV","2","Pure Electric","0","","","0","","","171","360","Pure EV","","","Yes","0","139","0","718"
"2019","Nissan","","ZE1 LEAF","","0","Electric","N/A","1","Other","4","5","Hatch","2","Pure Electric","0","","","0","","","171","315","Pure EV","","","Yes","0","139","0","718"
"2022","Nissan","ZE1","Leaf","","0","Electric","N/A","1","Auto","4","5","Hatch","2","Pure Electric","0","","","0","","","171","311","Pure EV","","","Yes","0","139","0","718"
"2020","Tesla","","Model S","SA3EP Performance","0","Electric","N/A","1","N/A","4","5","Hatch","4","Pure Electric","0","","","0","","","172","704","Pure EV","","","Yes","0","139","0","722"
"2024","Mercedes-Benz","X294","EQE SUV","300 SUV","0","Electric","N/A","1","Auto","4","5","SUV","2","Pure Electric","0","","","0","","","172","606","Pure EV","","","Yes","0","139","0","722"
"2022","Kia","","EV6","GT-Line RWD","0","Electric","N/A","1","Other","4","5","Wagon","2","Pure Electric","0","","","0","","","172","504","Pure EV","","","Yes","0","139","0","722"
"2024","MINI","U25","Countryman","E","0","Electric","N/A","1","Auto","4","5","Wagon","2","Pure Electric","0","","","0","","","172","422","Pure EV","","","Yes","0","139","0","722"
"2023","Ford","","Mach-E","Premium 4P RWD","0","Electric","N/A","1","CVT","4","5","SUV","2","Pure Electric","0","","","0","","","173","600","Pure EV","67","1200","Yes","0","140","0","727"
"2022","Tesla","","Model Y","Performance (PY5LD)","0","Electric","N/A","1","N/A","4","5","SUV","4","Pure Electric","0","","","0","","","173","514","Pure EV","","","Yes","0","140","0","727"
"2022","BMW","4 Series","G26","i4 eDrive35","0","Electric","N/A","1","Auto","4","5","Sedan","2","Pure Electric","0","","","0","","","173","430","Pure EV","","","Yes","0","140","0","727"
"2024","Volvo","","EX30","Single Motor","0","Electric","N/A","1","Auto","4","5","Hatch","2","Pure Electric","0","","","0","","","175","462","Pure EV","","","Yes","0","142","0","735"
"2023","Volvo","","C40","Recharge","0","Electric","N/A","1","Auto","4","5","Hatch","2","Pure Electric","0","","","0","","","175","445","Pure EV","","","No","2024","142","0","735"
"2024","Renault","","Kangoo E-Tech","SWB PRO EV45","0","Electric","N/A","1","Auto","4","2","Van","2","Pure Electric","0","","","0","","","175","286","Pure EV","","","Yes","0","142","0","735"
"2024","Renault","","Kangoo E-Tech","LWB PRO EV45","0","Electric","N/A","1","Auto","4","2","Van","2","Pure Electric","0","","","0","","","175","286","Pure EV","","","Yes","0","142","0","735"
"2023","Mercedes-Benz","V295","EQE","350 4MATIC","0","Electric","N/A","1","Auto","4","5","Sedan","4","Pure Electric","0","","","0","","","176","590","Pure EV","","","Yes","0","143","0","739"
"2023","Mercedes-Benz","V295","EQE Class","EQE 350 4MATIC","0","Electric","N/A","1","Auto","4","5","Sedan","4","Pure Electric","0","","","0","","","176","590","Pure EV","","","Yes","0","143","0","739"
"2023","MG","","ZS EV","72kWh","0","Electric","N/A","1","Auto","4","5","SUV","2","Pure Electric","0","","","0","","","177","505","Pure EV","","","Yes","0","143","0","743"
"2022","MG","","ZS EV","51kWh","0","Electric","N/A","1","Auto","4","5","SUV","2","Pure Electric","0","","","0","","","177","360","Pure EV","","","Yes","0","143","0","743"
"2023","Ford","","Mach-E","Select LFP RWD","0","Electric","N/A","1","CVT","4","5","Coupe","2","Pure Electric","0","","","0","","","178","470","Pure EV","67","1200","Yes","0","144","0","748"
"2022","Mercedes-Benz","H243","EQA Class","EQA350 4MATIC","0","Electric","N/A","1","Auto","4","5","Wagon","4","Pure Electric","0","","","0","","","179","475","Pure EV","","","Yes","0","145","0","752"
"2021","Hyundai","","Ioniq 5","EV","0","Electric","N/A","0","N/A","4","5","SUV","2","Pure Electric","0","","","0","","","179","451","Pure EV","","","Yes","0","145","0","752"
"2024","Kia","","EV5","Long Range 2WD 18 inch (Air)","0","Electric","N/A","1","Auto","4","5","SUV","2","Pure Electric","0","","","0","","","180","555","Pure EV","","","Yes","0","146","0","756"
"2023","BMW","G60","5 Series","i5 M60 xDrive","0","Electric","N/A","1","Auto","4","5","Sedan","4","Pure Electric","0","","","0","","","180","506","Pure EV","","","Yes","0","146","0","756"
"2022","Kia","","EV6","GT-Line AWD","0","Electric","N/A","1","Other","4","5","Wagon","4","Pure Electric","0","","","0","","","180","484","Pure EV","","","Yes","0","146","0","756"
"2021","Nissan","","ZE1 LEAF","e+","0","Electric","N/A","1","Other","4","5","Hatch","2","Pure Electric","0","","","0","","","180","450","Pure EV","","","Yes","0","146","0","756"
"2024","Volvo","","EX30","Twin Motor","0","Electric","N/A","1","Auto","4","5","Hatch","4","Pure Electric","0","","","0","","","180","445","Pure EV","","","Yes","0","146","0","756"
"2022","Nissan","ZE1","Leaf","e+","0","Electric","N/A","1","Auto","4","5","Hatch","2","Pure Electric","0","","","0","","","180","439","Pure EV","","","Yes","0","146","0","756"
"2024","BMW","G61","5 Series","i5 M60 xDrive Touring","0","Electric","N/A","1","Auto","4","5","Wagon","4","Pure Electric","0","","","0","","","181","501","Pure EV","","","Yes","0","147","0","760"
"2023","Fiat","","500e","Abarth 500e 113.7 kW 42 kWh FWD ELECTRIC","0","Electric","N/A","1","Auto","2","4","Hatch","2","Pure Electric","0","","","0","","","181","253","Pure EV","","","Yes","0","147","0","760"
"2023","Cupra","MY23","Born","77kWh 4 seat (20" Alloys)","0","Electric","N/A","1","Auto","4","4","Hatch","2","Pure Electric","0","","","0","","","182","475","Pure EV","","","Yes","0","147","0","764"
"2024","Kia","","EV5","Standard Range 2WD 18 inch (Air)","0","Electric","N/A","1","Auto","4","5","SUV","2","Pure Electric","0","","","0","","","182","400","Pure EV","","","Yes","0","147","0","764"
"2024","Mercedes-Benz","X294","EQE SUV","350 4MATIC SUV","0","Electric","N/A","1","Auto","4","5","SUV","4","Pure Electric","0","","","0","","","183","574","Pure EV","","","Yes","0","148","0","769"
"2023","Volvo","","XC40","Recharge","0","Electric","N/A","1","Auto","4","5","Hatch","2","Pure Electric","0","","","0","","","183","435","Pure EV","","","No","2024","148","0","769"
"2023","BMW","U11","X1","iX1 xDrive30","0","Electric","N/A","1","Auto","4","5","Wagon","4","Pure Electric","0","","","0","","","183","400","Pure EV","","4000","Yes","0","148","0","769"
"2024","MINI","U25","Countryman","SE ALL4","0","Electric","N/A","1","Auto","4","5","Wagon","4","Pure Electric","0","","","0","","","183","396","Pure EV","","","Yes","0","148","0","769"
"2023","MG","","MG4","51kWh EV RWD ","0","Electric","N/A","1","Auto","4","5","Hatch","2","Pure Electric","0","","","0","","","184","405","Pure EV","","","Yes","0","149","0","773"
"2023","Volvo","","C40","Recharge Twin","0","Electric","N/A","1","Auto","4","5","Hatch","4","Pure Electric","0","","","0","","","185","480","Pure EV","","","No","2024","150","0","777"
"2024","BMW","U10","iX2","xDrive30","0","Electric","N/A","1","Auto","4","5","Wagon","4","Pure Electric","0","","","0","","","185","395","Pure EV","","3750","Yes","0","150","0","777"
"2021","Mazda","","MX-30","Electric","0","Electric","N/A","1","Auto","4","5","SUV","2","Pure Electric","0","","","0","","","185","224","Pure EV","","","Yes","0","150","0","777"
"2023","Ford","","Mach-E","Premium 4P AWD","0","Electric","N/A","1","CVT","4","5","SUV","4","Pure Electric","0","","","0","","","188","550","Pure EV","66","1200","Yes","0","152","0","790"
"2022","Genesis","","GV60","AWD","0","Electric","N/A","1","Auto","4","5","SUV","4","Pure Electric","0","","","0","","","188","470","Pure EV","66","","Yes","0","152","0","790"
"2022","Mercedes-Benz","X243","EQB","EQB 350 4MATIC","0","Electric","N/A","1","Auto","4","5","Wagon","4","Pure Electric","0","","","0","","","188","445","Pure EV","","","Yes","0","152","0","790"
"2022","Mercedes-Benz","X243","EQB","EQB 350 4MATIC","0","Electric","N/A","1","Auto","4","7","Wagon","4","Pure Electric","0","","","0","","","188","445","Pure EV","","","Yes","0","152","0","790"
"2023","Mercedes-Benz","X294","EQE SUV","EQE 300 SUV ","0","Electric","N/A","1","Auto","4","5","SUV","2","Pure Electric","0","","","0","","","189","539","Pure EV","","","Yes","0","153","0","794"
"2023","Mercedes-Benz","X294","EQE SUV","EQE 350 4MATIC SUV ","0","Electric","N/A","1","Auto","4","5","SUV","4","Pure Electric","0","","","0","","","189","539","Pure EV","","","Yes","0","153","0","794"
"2021","Hyundai","","Ioniq 5","EV","0","Electric","N/A","0","N/A","4","5","SUV","4","Pure Electric","0","","","0","","","190","430","Pure EV","","","Yes","0","154","0","798"
"2024","Mercedes-Benz","X296","EQS SUV","450 4MATIC SUV","0","Electric","N/A","1","Auto","4","7","SUV","4","Pure Electric","0","","","0","","","191","698","Pure EV","","","Yes","0","155","0","802"
"2020","Tesla","","Model X","Long Range (XA3EB)","0","Electric","N/A","1","N/A","4","7","SUV","4","Pure Electric","0","","","0","","","191","633","Pure EV","","","Yes","0","155","0","802"
"2022","Genesis","","G80","Electrified","0","Electric","N/A","1","Auto","4","5","Sedan","4","Pure Electric","0","","","0","","","191","520","Pure EV","68","","Yes","0","155","0","802"
"2022","Genesis","","GV60","Performance AWD","0","Electric","N/A","1","Auto","4","5","SUV","4","Pure Electric","0","","","0","","","191","466","Pure EV","66","","Yes","0","155","0","802"
"2022","Audi","","e-tron GT","20" Wheels","0","Electric","N/A","2","Auto","4","5","Sedan","4","Pure Electric","0","","","0","","","192","540","Pure EV","","","Yes","0","156","0","806"
"2022","Audi","","RS e-tron GT","","0","Electric","N/A","2","Auto","4","5","Sedan","4","Pure Electric","0","","","0","","","194","532","Pure EV","","","Yes","0","157","0","815"
"2023","Volvo","","XC40","Recharge Twin","0","Electric","N/A","1","Auto","4","5","Hatch","4","Pure Electric","0","","","0","","","194","485","Pure EV","","","No","2024","157","0","815"
"2023","Kia","","EV9","Air RWD","0","Electric","N/A","1","Auto","4","7","SUV","2","Pure Electric","0","","","0","","","195","443","Pure EV","","","Yes","0","158","0","819"
"2020","Tesla","","Model X","Performance (XA3EP)","0","Electric","N/A","1","N/A","4","7","Hatch","4","Pure Electric","0","","","0","","","196","619","Pure EV","","","Yes","0","159","0","823"
"2023","Mercedes-Benz","X294","EQE SUV","EQE 500 4MATIC SUV","0","Electric","N/A","1","Auto","4","5","SUV","4","Pure Electric","0","","","0","","","196","534","Pure EV","","","Yes","0","159","0","823"
"2022","Audi","","e-tron GT","21" Wheels","0","Electric","N/A","2","Auto","4","5","Sedan","4","Pure Electric","0","","","0","","","196","523","Pure EV","","","Yes","0","159","0","823"
"2023","Ford","","Mach-E","Premium LFP AWD","0","Electric","N/A","1","CVT","4","5","SUV","4","Pure Electric","0","","","0","","","196","428","Pure EV","67","1200","Yes","0","159","0","823"
"2022","Polestar","","2","170KW","0","Electric","N/A","1","N/A","4","5","SUV","2","Pure Electric","0","","","0","","","197","625","Pure EV","","","Yes","0","160","0","827"
"2023","BMW","G70","7 Series","i7 M70 xDrive","0","Electric","N/A","1","Auto","4","5","Sedan","4","Pure Electric","0","","","0","","","197","576","Pure EV","","","Yes","0","160","0","827"
"2022","Genesis","","GV70","Electrified","0","Electric","N/A","1","Auto","4","5","SUV","4","Pure Electric","0","","","0","","","199","445","Pure EV","69","","Yes","0","161","0","836"
"2024","Kia","","EV5","Long Range 4WD 19 inch (Earth)","0","Electric","N/A","1","Auto","4","5","SUV","2","Pure Electric","0","","","0","","","201","500","Pure EV","","","Yes","0","163","0","844"
"2024","Mercedes-Benz","Z296","EQS SUV","680 Maybach (5 seat)","0","Electric","N/A","1","Auto","4","5","SUV","4","Pure Electric","0","","","0","","","202","662","Pure EV","","","Yes","0","164","0","848"
"2024","Mercedes-Benz","Z296","EQS SUV","680 Maybach (4 seat)","0","Electric","N/A","1","Auto","4","4","SUV","4","Pure Electric","0","","","0","","","202","662","Pure EV","","","Yes","0","164","0","848"
