Theme,Sub Theme,Name,Latitude,Longitude
Transport,Railway Station,Flemington Bridge Railway Station,-37.78816459,144.9392778
Mixed Use,Retail/Office/Carpark,Council House 2 (CH2),-37.81425914,144.9666384
Place Of Assembly,Library,The Melbourne Athenaeum Library,-37.81488558,144.9672913
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens South,-37.80606846,144.9712665
Place of Worship,Church,St Francis Church,-37.81188478,144.9624226
Place of Worship,Church,Wesley Church,-37.81015764,144.9681682
Place of Worship,Church,St Augustines Church,-37.81697414,144.954862
Place of Worship,Church,St James Church,-37.81012812,144.9524686
Place of Worship,Church,St Mary's Anglican Church,-37.80316637,144.9537615
Place of Worship,Church,Romanian Orthodox,-37.80523073,144.9669864
Place of Worship,Church,Welsh Presbyterian Church,-37.81044788,144.9598733
Place of Worship,Church,Church of Christ,-37.81045241,144.9638892
Place of Worship,Church,Scots Church,-37.81456878,144.9685511
Place of Worship,Church,St Michael's Uniting Church,-37.81438513,144.969174
Place of Worship,Church,Greek Orthodox Church,-37.80880647,144.9782591
Place of Worship,Church,St Peter's Eastern Hill,-37.80970867,144.9752592
Place of Worship,Church,Lutheran Trinity Church,-37.81097571,144.9757295
Place of Worship,Church,Holy Trinity,-37.81406671,144.9831973
Place of Worship,Church,St Johns Lutheran Church,-37.82093997,144.9671211
Place of Worship,Church,North Melbourne Uniting,-37.80355385,144.9476715
Place of Worship,Church,Melbourne Unitarian Church,-37.81144878,144.9846649
Place of Worship,Church,All Nations Uniting Church,-37.79591553,144.9689811
Place of Worship,Church,Our Lady of Lebanon Church,-37.80257665,144.9693347
Place of Worship,Church,St Michaels,-37.79405127,144.9453995
Place of Worship,Church,Ukranian Catholic Cathedral,-37.79630846,144.9443135
Place of Worship,Church,St Alban Anglican Church,-37.79421695,144.9416145
Place of Worship,Church,Christ Church Kensington,-37.79321095,144.9272957
Place of Worship,Church,Holy Rosary,-37.79480874,144.9283621
Place of Worship,Church,Collins Street Baptist Church,-37.81470119,144.9680725
Place of Worship,Church,St Thomas Aquinas Church,-37.83530769,144.9768091
Place of Worship,Church,South Yarra Presbyterian Church,-37.84074736,144.985627
Place of Worship,Church,The Parish of Christ Church South Yarra,-37.83862705,144.9860094
Health Services,Private Hospital,Melbourne Private Hospital,-37.79831113,144.9572884
Place of Worship,Synagogue,East Melbourne Synagogue,-37.80911373,144.9742219
Community Use,Police Station,Victoria Police,-37.8164849,144.9664868
Community Use,Police Station,Victoria Police,-37.80031213,144.9546975
Community Use,Police Station,Victoria Police,-37.82197739,144.953398
Community Use,Visitor Centre,Melbourne Visitor Booth,-37.81395251,144.9644259
Leisure/Recreation,Major Sports & Recreation Facility,State Netball Hockey Centre,-37.785786,144.947581
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),University Square,-37.80041071,144.9603983
Transport,Transport Terminal,Port of Melbourne,-37.81373844,144.9175343
Leisure/Recreation,Private Sports Club/Facility,Royal Park Golf Course,-37.78191713,144.9563091
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Powlett Reserve,-37.81169299,144.9872757
Community Use,Cemetery,Melbourne General Cemetery,-37.789189,144.965786
Leisure/Recreation,Major Sports & Recreation Facility,Carlton Football Club,-37.78408644,144.9619678
Leisure/Recreation,Major Sports & Recreation Facility,Visy Park,-37.78343039,144.9619826
Retail,Retail,Queen Victoria Market,-37.8075002,144.9571585
Education Centre,Primary Schools,Carlton Gardens Primary School,-37.80209538,144.9694063
Education Centre,Primary Schools,Carlton Primary School,-37.79590798,144.9701473
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens North,-37.80176908,144.9719976
Place Of Assembly,Art Gallery/Museum,Old Melbourne Gaol Crime & Justice Experience,-37.80776441,144.9654639
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Kings Domain,-37.82552398,144.9741079
Education Centre,Secondary Schools,Melbourne Grammar School,-37.8342561,144.976285
Education Centre,School - Primary and Secondary Education,Wesley College,-37.84852018,144.9822278
Place Of Assembly,Theatre Live,FairFax Studio,-37.82166846,144.9688362
Place Of Assembly,Theatre Live,Playhouse,-37.82181246,144.9683378
Place Of Assembly,Theatre Live,State Theatre,-37.82128063,144.9684696
Education Centre,Tertiary (University),University of Melbourne (VCA and Music),-37.82411377,144.9693325
Place Of Assembly,Theatre Live,St Martins Youth Arts Centre,-37.83524295,144.9811422
Leisure/Recreation,Major Sports & Recreation Facility,Flemington Racecourse,-37.79080826,144.912143
Transport,Railway Station,Southern Cross Railway Station,-37.81816331,144.9529447
Place Of Assembly,Theatre Live,Princess Theatre,-37.81072571,144.9723266
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Treasury Gardens,-37.81439936,144.9759523
Education Centre,Secondary Schools,University High School,-37.79731362,144.9560344
Community Use,Public Buildings,State Library Victoria,-37.80998522,144.9643303
Place Of Assembly,Theatre Live,Regent Theatre,-37.81600147,144.9679167
Mixed Use,Retail/Office,Treasury Reserve,-37.81291788,144.9752368
Office,Office,Old Treasury Building,-37.81323717,144.9744236
Health Services,Private Hospital,Epworth Freemasons Hospital : Medical Centre,-37.80934446,144.9823368
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Batman Park,-37.82184609,144.9566658
Office,Office,Australian Red Cross,-37.7990921,144.9526359
Community Use,Government Building,Melbourne Magistrates Court,-37.81361477,144.9568462
Transport,Railway Station,Flagstaff Railway Station,-37.81223565,144.9563182
Community Use,Public Buildings,Supreme Court,-37.81414942,144.957894
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Richmond Football Club,-37.821674,144.9881563
Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Cricket Ground (MCG),-37.81949216,144.9834029
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Zoo,-37.78444493,144.9513712
Office,Office,Australian Broadcasting Corporation (ABC),-37.82381332,144.9665514
Place Of Assembly,Function/Conference/Exhibition Centre,Melbourne Exhibition Centre,-37.82524551,144.9543524
Place Of Assembly,Function/Conference/Exhibition Centre,Melbourne Convention Centre,-37.82490405,144.9522883
Place Of Assembly,Art Gallery/Museum,Polly Woodside,-37.82425743,144.9534781
Vacant Land,Vacant Land - Undeveloped Site,Melbourne International Karting Complex,-37.83107464,144.9138229
Leisure/Recreation,Private Sports Club/Facility,Melbourne International Shooting Club,-37.82928449,144.9134158
Mixed Use,Retail/Office/Carpark,Southgate Arts and Leisure Precinct,-37.82022458,144.9659891
Place Of Assembly,Art Gallery/Museum,Australian Centre for Contemporary Art,-37.82660454,144.9672529
Place Of Assembly,Theatre Live,Malthouse Theatre,-37.8271768,144.9669368
Place of Worship,Church,St Patricks Cathedral,-37.8101141,144.9759015
Place Of Assembly,Art Gallery/Museum,Victorian Arts Centre,-37.82199473,144.9688373
Office,Office,Parliament House,-37.81124666,144.9737264
Community Use,Public Buildings,Melbourne Town Hall,-37.81507548,144.9665427
Office,Office,Former Royal Mint,-37.81218387,144.9570555
Mixed Use,Retail/Office,DFO South Wharf,-37.8248874,144.9497943
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Queen Victoria Gardens,-37.82163812,144.9710495
Community Use,Public Buildings,Sidney Myer Music Bowl,-37.82334716,144.9746862
Purpose Built,Casino,Crown Entertainment Complex,-37.82357611,144.9573129
Health Services,Public Hospital,The Royal Victorian Eye & Ear Hospital,-37.80875228,144.9762683
Office,Office,SBS (Special Broadcasting Service),-37.81769212,144.9687406
Place Of Assembly,Art Gallery/Museum,The Ian Potter Centre: NGV Australia,-37.81748314,144.969899
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Federation Square,-37.81785166,144.9689636
Place Of Assembly,Art Gallery/Museum,Thoroughbred Racing Gallery,-37.81886627,144.9839701
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),New Quay,-37.81521788,144.9416179
Purpose Built,Film & RV Studio,Central City Studios,-37.81423185,144.9356553
Purpose Built,Film & RV Studio,Channel 7 - Melbourne Broadcast Centre,-37.81585723,144.9458233
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Docklands Park,-37.82099568,144.9467817
Mixed Use,Retail/Office,Waterfront City,-37.81505666,144.9391369
Vacant Land,Current Construction Site,Harbour Town,-37.81392563,144.9381238
Leisure/Recreation,Major Sports & Recreation Facility,AAMI Park,-37.82472527,144.983803
Transport,Marina,New Quay Marina,-37.81529255,144.9422837
Place Of Assembly,Function/Conference/Exhibition Centre,Central Pier,-37.81651773,144.943475
Leisure/Recreation,Observation Tower/Wheel,Melbourne Star Observation Wheel,-37.81161637,144.9375889
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Point Park,-37.82335227,144.9421023
Education Centre,Primary Schools,Kensington Primary School,-37.7925235,144.9271087
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Newmarket Reserve,-37.78784733,144.9229721
Health Services,Public Hospital,Royal Womens Hospital,-37.79888925,144.9548973
Education Centre,Further Education,Kangan Batman Tafe,-37.82218182,144.9489085
Place Of Assembly,Art Gallery/Museum,Fox Classic Car Collection,-37.82137443,144.9484967
Specialist Residential Accommodation,Hostel,The Mission To Seafarers Victoria,-37.8224996,144.9512548
Vacant Land,Current Construction Site - Commercial,Railway Good Shed No 2,-37.82113713,144.9513789
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Wonderland Park,-37.81169454,144.9368337
Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,-37.82204561,144.9784872
Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Park,-37.8209086,144.9787358
Leisure/Recreation,Major Sports & Recreation Facility,Margaret Court Arena,-37.82132521,144.9775911
Leisure/Recreation,Major Sports & Recreation Facility,Hisense Arena,-37.82311,144.9818348
Place Of Assembly,Art Gallery/Museum,Melbourne Museum,-37.80355181,144.9716907
Place Of Assembly,Cinema,IMAX Melbourne,-37.80343156,144.9706399
Community Use,Public Buildings,Melbourne Theatre Company,-37.82393038,144.9682974
Place Of Assembly,Theatre Live,MTC Theatre,-37.82426618,144.9681744
Community Use,Public Buildings,Elisabeth Murdoch Hall,-37.82397337,144.967451
Community Use,Public Buildings,Melbourne Recital Centre,-37.82383279,144.9676827
Community Use,Public Buildings,NGV International,-37.8230135,144.9693425
Place Of Assembly,Theatre Live,Hamer Hall,-37.8199901,144.9679921
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Birrarung Marr,-37.81806108,144.9731467
Leisure/Recreation,Indoor Recreation Facility,Artplay,-37.81841988,144.9715426
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Riverslide Skate Park,-37.82078871,144.9729518
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Alexandra Gardens,-37.82060514,144.9717961
Transport,Railway Station,Parliament Railway Station,-37.81160618,144.9730173
Transport,Railway Station,Richmond Railway Station (Richmond) - Train stop,-37.82389927,144.9894008
Transport,Railway Station,Jolimont-MCG Railway Station (East Melbourne) - Train stop,-37.81656518,144.983641
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),North Melbourne Recreation Reserve,-37.79883453,144.9414521
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),J.J Holland Park,-37.79823588,144.9238371
Transport,Railway Station,Macaulay Railway Station (North Melbourne) - Train stop,-37.794964,144.9361908
Transport,Railway Station,Kensington Railway Station,-37.79391401,144.9307102
Transport,Railway Station,South Kensington Railway Station,-37.79972705,144.9258377
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Royal Park,-37.79061743,144.9538342
Health Services,Public Hospital,Royal Childrens Hospital,-37.79420608,144.9500483
Transport,Railway Station,Royal Park Railway Station,-37.78126843,144.9516678
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Princes Park,-37.78701617,144.9611152
Place Of Assembly,Art Gallery/Museum,National Sports Museum,-37.81895449,144.9846698
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Shrine of Rembrance Reserve,-37.8320734,144.9736284
Community Use,Public Buildings,Shrine of Remembrance,-37.830208,144.9734419
Residential Accommodation,Dwelling (House),Government House,-37.82756359,144.9766551
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Royal Botanic Gardens,-37.83066316,144.9808504
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Yarra Park,-37.82046937,144.9866711
Office,Office,Coronial Services Centre of Victoria,-37.82434374,144.9644746
Office,Office,Victorian Insitute of Forensic Medicine,-37.82469241,144.9649791
Office,Office,Donor Tissue Bank of Victoria,-37.82482319,144.965169
Office,Office,State Coroners Office,-37.82449822,144.9646753
Leisure/Recreation,Indoor Recreation Facility,Icehouse,-37.81218812,144.935684
Transport,Railway Station,Parliament Railway Station,-37.81215728,144.973742
Transport,Railway Station,Parliament Railway Station,-37.81276211,144.9734338
Transport,Railway Station,Parliament Railway Station,-37.80957622,144.9723301
Transport,Railway Station,Flagstaff Railway Station,-37.81163844,144.9561187
Transport,Railway Station,Melbourne Central Railway Station,-37.80977593,144.9626701
Transport,Railway Station,Melbourne Central Railway Station,-37.81059924,144.9616906
Transport,Railway Station,Melbourne Central Railway Station,-37.810893,144.9631007
Transport,Railway Station,Flemington Racecourse Railway Station,-37.78691058,144.9081907
Transport,Railway Station,Showgrounds Railway Station (Flemington),-37.78346512,144.9149026
Transport,Railway Station,Newmarket Railway Station,-37.78727262,144.92906
Place Of Assembly,Theatre Live,Athanaeum Theatre,-37.81495435,144.9673225
