Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,EV Connector Types
ELEC,Westchester County Department of Health,134 Main St,,White Plains,NY,10601,,866-816-7584,E,,Public,24 hours daily,,,3,,,EV Connect,http://evconnect.com/,200-8,41.031941,-73.769376,06/09/2020,94865,2021-03-11 23:22:17,LG,,,07/06/2014,J1772
ELEC,Parkright 257 Gold Street - Tesla Destination,257  Gold St,,Brooklyn,NY,11201,,212-247-7303  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.696871,-73.983002,11/03/2020,114895,2021-03-11 23:22:17,P,,,01/01/2016,J1772 TESLA
ELEC,Serendipity Labs Inc. - Tesla Destination,80 Theodore Fremd Ave,,Rye,NY,10580,,914-908-6770  877-798-3752,E,,Public - Call ahead,24 hours daily,,,1,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.983031,-73.687987,11/03/2020,115231,2021-03-11 23:22:17,P,,,02/01/2015,TESLA
ELEC,TONAWANDA YPR GOLF DOME 1,175 Brompton Rd,,Tonawanda,NY,14150,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.002586,-78.840640,08/04/2022,149727,2022-08-04 01:07:53,,,,12/05/2019,J1772
ELEC,ERIE COUNTY ECC SOUTH 2,Erie College Drive,,Hamburg,NY,14075,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.771831,-78.796294,08/04/2022,168262,2022-08-04 01:11:29,,,,11/11/2020,J1772
ELEC,CHEEKTOWAGA ALEXANDER #4,275 Alexander Ave,,Buffalo,NY,14211,,888-758-4389,E,,Public,24 hours daily,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.913030,-78.791232,08/04/2022,183769,2022-08-04 01:18:13,,,,02/04/2021,J1772
ELEC,Rosegate Apartments,11 Maxwell Dr,,Clifton Park,NY,12065,,518-691-3119,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,4,,,LIVINGSTON,https://www.solution.energy/evse/,200-8,42.863588,-73.784986,07/12/2022,191112,2022-07-26 21:16:44,P,,,11/08/2021,J1772
ELEC,NORTHEAST IS STATION 2,880 Watervliet Shaker Rd,,Albany,NY,12205,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.738702,-73.820508,08/04/2022,194319,2022-08-04 01:22:42,,,,08/27/2021,J1772
ELEC,WHITE PLAINS EVSE1,1 Maple Ave,,White Plains,NY,10605,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.028410,-73.759380,08/04/2022,197206,2022-08-04 01:23:23,,,,10/07/2021,J1772
ELEC,EVolveNY Saratoga,106 Maple Avenue,,Saratoga,NY,12866,,855-900-7584,E,,Public,24 hours daily,,,,4,,Greenlots,http://greenlots.com/,GPS,43.086092,-73.781222,08/04/2022,200684,2022-08-04 01:34:56,,,,11/06/2021,CHADEMO J1772COMBO
ELEC,3500 Dekalb Ave,3500 Dekalb Ave,,Bronx,NY,10467,,888-356-8911,E,,Public,24 hours daily,,,2,,,FLO,https://flo.ca/,GPS,40.882337,-73.880265,08/04/2022,201636,2022-08-04 01:49:45,,,,11/25/2021,J1772
ELEC,EVolve NY Victor,441 Commerce Dr,,Victor,NY,14564,,833-632-2778,E,,Public,24 hours daily,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,43.018554,-77.438292,08/04/2022,213986,2022-08-04 01:36:12,,,,04/14/2022,CHADEMO J1772COMBO
ELEC,ALBANY COUNTY STATION 2,570 Hockey Ln,,Loudonville,NY,12211,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.747577,-73.814622,08/04/2022,217380,2022-08-04 01:28:46,,,,05/12/2022,J1772
ELEC,EVolveNY Liberty,1933 NY-52,,Liberty,NY,12754,,855-900-7584,E,,Public,24 hours daily,,,,3,,Greenlots,http://greenlots.com/,GPS,41.783684,-74.721531,08/04/2022,221216,2022-08-04 01:35:08,,,,06/11/2022,CHADEMO J1772COMBO
ELEC,COLL BROCKPORT FINEARTS LOT G1,168 Holley St,,Brockport,NY,14420,,888-758-4389,E,,Public,Mon 12:00am - 12:00am; Tue 12:00am - 12:00am; Wed 12:00am - 12:00am; Thu 12:00am - 12:00am; Fri 12:00am - 12:00am; Sat 12:00am - 12:00am; Sun 12:00am - 12:00am,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.213812,-77.947162,08/04/2022,183178,2022-08-04 01:07:03,,,,01/27/2021,J1772
ELEC,Pindar Vineyards - Tesla Destination,37645 NY-25,,Peconic,NY,11958,,631-734-6200  877-798-3752,E,,Public,24 hours daily; for customer use only,,,1,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,41.034704,-72.469690,11/03/2020,115209,2021-03-11 23:22:17,P,,,11/01/2018,TESLA
ELEC,HUDSON PRESERVE BLDG 17 #11,1701 Beryl Way,,Watervliet,NY,12189,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.731262,-73.726420,08/04/2022,143243,2022-08-04 01:05:12,,,,08/15/2019,J1772
ELEC,Poughkeepsie Nissan,1445 Route 9,,Wappingers Falls,NY,12590,,845-297-4314,E,,Public - Call ahead,Dealership business hours,,,1,,,Non-Networked,,200-9,41.587383,-73.908392,06/09/2020,44206,2021-03-11 23:22:17,P,,,11/30/2011,J1772
